objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
Expedition: Northwest Passage,71074,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307325,6.22449,6.96779,2.6923,1926,2359,thing,Expedition: Northwest Passage,1,4,60,60,60,2013,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Exploration: Warzone,299556,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697947,5.43708,3.47146,1,25862,31,thing,Exploration: Warzone,2,3,15,15,5,2022,,,,,,,,,,standalone,,,,,
Factum,337178,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87378791,5.49222,5.12035,1,23272,6,thing,Factum,4,12,120,120,45,2021,,,,No necessary in-game text,,,,,,standalone,,,,,
Fairy Trails,288775,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92367132,5.68668,6.13324,1.1071,5929,1548,thing,Fairy Trails,1,2,20,20,15,2020,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Fan Tan,18399,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472728,5.4673,5.21758,1.2857,25261,151,thing,Fan Tan,3,8,25,25,25,0,,,4+,No necessary in-game text,,,,,,standalone,,,,,
Farm Club,358790,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,93302830,5.58268,6.14005,1.75,9299,189,thing,Farm Club,2,5,20,20,20,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
A Feast for Odin,177736,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472056,7.94409,8.17408,3.8642,24,36418,thing,A Feast for Odin,1,4,120,120,30,2016,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Finity,290506,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73330459,5.48071,4.92708,2.5,24556,9,thing,Finity,2,4,120,120,15,2019,,,,,,,,,,standalone,,,,,
A Fistful of Gold,305980,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697970,5.44993,4.76905,1.2857,25691,10,thing,A Fistful of Gold,2,2,15,15,10,2015,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Flaming Pyramids,236639,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,76871216,5.44941,5.25698,1.2222,25697,115,thing,Flaming Pyramids,2,6,20,20,10,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Fleet,121297,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80633795,6.44881,6.83544,2.2429,1319,6917,thing,Fleet,2,4,45,45,30,2012,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Florenza: The Card Game,143484,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308308,5.77176,6.74395,2.5172,4646,814,thing,Florenza: The Card Game,2,4,60,60,60,2013,,,5,No necessary in-game text,,,,,,standalone,,,,,
Flume,67080,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99162644,5.46731,4.20577,3,25260,13,thing,Flume,2,2,30,30,30,2010,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Fluxx,258,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696573,5.56346,5.67384,1.3889,10609,30879,thing,Fluxx,2,6,30,30,5,1997,,,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
For Sale,172,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307035,7.12983,7.25367,1.2525,335,38193,thing,For Sale,3,6,30,30,30,1997,,,8+,No necessary in-game text,,,,,,standalone,,,,,
For the King (and Me),333553,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90174880,5.85157,6.88837,1.4,3889,1330,thing,For the King (and Me),2,5,30,30,30,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
For-Ex,227605,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,84856517,5.62153,6.29881,3.8333,7527,455,thing,For-Ex,2,6,90,90,90,2017,,,12,,,,,,,standalone,,,,,
Forbidden Island,65244,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77733800,6.6576,6.76129,1.7357,925,91547,thing,Forbidden Island,2,4,30,30,30,2010,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Four Color Cards,22501,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71308335,5.47744,4.56735,1.8333,24788,62,thing,See Sek,2,5,10,10,10,0,,,,No necessary in-game text,,,,,,standalone,,,,,
Fractal,74129,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94600704,5.48971,5.09746,1,23619,14,thing,Fractal,2,2,45,45,45,2010,,,10+,No necessary in-game text,,,,,,standalone,,,,,
French Tarot,4505,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306890,5.87241,6.85394,2.4808,3720,1842,thing,Tarot,2,8,30,30,30,1425,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Fruit Picking,296044,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,89803039,5.54335,5.83364,1.2857,12593,171,thing,Fruit Picking,1,4,30,30,15,2020,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Gaïa,163920,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307242,5.80276,6.1929,1.9649,4321,2744,thing,Gaïa,2,5,30,30,30,2014,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Gaia Project,220308,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472596,8.11781,8.38188,4.3923,12,33055,thing,Gaia Project,1,4,150,150,60,2017,,,14+,No necessary in-game text,,,,,,standalone,,,,,
Gang of Dice,366129,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97833173,5.70534,6.37956,1.1429,5604,484,thing,Gang of Dice,2,4,30,30,30,2022,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Gangsta!,282475,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94672391,5.51942,6.15414,2,17123,75,thing,Gangsta!,2,4,60,60,30,2019,,,10+,,,,,,,standalone,,,,,
Garden Nation,341245,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96221469,5.79931,6.82317,2.56,4358,1154,thing,Garden Nation,2,4,75,75,60,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Gear & Piston,140613,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71308318,5.53938,5.70839,2.125,13158,771,thing,Gear & Piston,2,6,60,60,30,2013,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Geek Out! Masters,225569,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472107,5.50855,5.60055,1.2222,19888,157,thing,Geek Out! Masters,1,4,15,0,15,2017,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Get on Board: New York & London,347013,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94109221,6.32591,6.9893,1.9,1612,4730,thing,Get on Board: New York & London,2,5,30,30,30,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Get the MacGuffin,241245,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472460,5.48426,5.48346,1.1667,24211,958,thing,Get the MacGuffin,2,11,10,10,5,2018,,,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Ghost at Home,320275,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96471242,5.43256,4.5969,1,25891,77,thing,Ghost at Home,2,4,20,20,10,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Gift of Tulips,286788,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102773074,5.75451,6.72386,1.8182,4857,1173,thing,Gift of Tulips,2,6,20,20,20,2022,,,,No necessary in-game text,,,,,,standalone,,,,,
Ginkgopolis,128271,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472022,7.07777,7.50107,2.9,388,9146,thing,Ginkgopolis,1,5,45,45,45,2012,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Gizmos,246192,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98675510,7.08991,7.38851,2.0213,377,16291,thing,Gizmos,2,4,50,50,40,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Glow,275044,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,89111826,6.27963,6.99638,2,1744,4983,thing,Glow,2,4,45,45,45,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
The Gnomes of Zavandor,103184,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98675564,5.67681,6.36982,2.5714,6115,1140,thing,The Gnomes of Zavandor,2,4,90,90,60,2011,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Go,188,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307353,7.31344,7.65176,3.9314,212,24319,thing,Go,2,2,180,180,30,-2200,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Go Fish,7682,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96471230,4.61009,3.65821,1.0565,26282,1729,thing,Go Fish,2,6,20,20,20,0,,,4+,No necessary in-game text,,,,,,standalone,,,,,
Go Goa,344685,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102773036,5.51698,5.85529,1.1429,17741,62,thing,Go Goa,1,6,30,30,25,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Go Nuts for Donuts,184346,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,82482540,6.01158,6.42411,1.1,2811,5591,thing,Go Nuts for Donuts,2,6,20,20,20,2017,,,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Gold West,154086,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,82744124,6.59166,7.31607,2.4545,1037,3672,thing,Gold West,2,4,60,60,45,2015,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Gold West: Bandits Promo,188355,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,82744166,5.54212,7.05483,2.3333,0,391,thing,Gold West: Bandits Promo,2,4,60,60,45,2015,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Gold West: Trading Post Promo,213216,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,82744174,5.54206,6.78328,2,0,561,thing,Gold West: Trading Post Promo,2,4,60,60,45,2016,,,10+,No necessary in-game text,,,,,,expansion,,,,,
Gomoku,11929,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71307820,5.61081,5.96579,1.8636,7925,626,thing,Go-Moku,2,2,5,5,5,700,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Gomoku (Caro),133524,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333056,5.53566,6.2551,1.9167,13770,160,thing,Caro,2,4,15,15,15,2012,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Good Cop Bad Cop,153064,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96004543,6.13586,6.56085,1.2571,2270,5083,thing,Good Cop Bad Cop,4,8,20,20,10,2014,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Gopher,334824,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83884255,5.46006,4.26364,1.5,25490,8,thing,Gopher,2,2,0,0,0,2021,,,8+,,,,,,,standalone,,,,,
GORami,121011,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308323,5.47683,4.38619,1,24816,11,thing,Gurami: das Spiel,1,3,15,15,15,2011,,,,,,,,,,standalone,,,,,
GOSU,66587,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307327,6.02603,6.4919,2.4,2740,2957,thing,GOSU,2,4,45,45,45,2010,,,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Gosu: Kamakor,85037,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333075,5.71513,7.14147,2.8125,0,1033,thing,Gosu: Kamakor,2,4,20,20,20,2011,,,10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Grand Bazaar,189489,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696544,5.3241,3.2684,1.2857,26175,50,thing,Grand Bazaar,2,7,45,45,30,2015,,,8+,No necessary in-game text,,,,,,standalone,,,,,
El Grande,93,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86471967,7.57371,7.75313,2.9832,92,28941,thing,El Grande,2,5,120,120,60,1995,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
La Granja,146886,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71306991,7.26419,7.60978,3.5659,245,12776,thing,La Granja,1,4,120,120,90,2014,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Gravity Superstar,254088,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472245,5.81367,6.67874,1.3077,4215,1096,thing,Gravity Superstar,2,6,30,30,15,2018,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Great Western Trail: Second Edition,341169,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88657296,7.89718,8.34682,3.7239,29,18409,thing,Great Western Trail: Second Edition,1,4,150,150,75,2021,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Guildes,220276,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308047,5.54047,6.10568,1.25,12980,125,thing,Guildes,2,6,35,35,20,2017,,,,No necessary in-game text,,,,,,standalone,,,,,
Guile,138091,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85675257,5.47433,4.94265,1,24949,122,thing,Guile,2,2,20,20,20,2013,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Gyges,10527,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308312,5.67517,6.61681,2.4167,6141,462,thing,Gyges,2,2,15,15,15,1985,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Hack Trick,181440,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307910,5.66527,6.35074,1.4348,6370,820,thing,Hack Trick,2,4,25,25,15,2015,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Hadara,269144,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104389248,6.95806,7.40508,2.1989,505,8570,thing,Hadara,2,5,60,60,45,2019,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Hades Trap,295148,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96004553,0,7,2,0,43,thing,Hades Trap,2,4,30,30,30,2022,,,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Hadron,368118,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97278499,5.45913,4.1125,1.6667,25510,10,thing,Hadron,2,2,0,0,0,2022,,,4+,,,,,,,standalone,,,,,
Haggis,37628,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307845,6.52012,6.99585,2.1096,1170,6209,thing,Haggis,2,4,45,45,45,2010,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Haiclue,286062,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77497263,5.60758,6.1659,1.2,8057,186,thing,Haiclue,2,12,30,30,30,2019,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Hanabi,98778,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306809,6.93835,7.04065,1.6904,535,81291,thing,Hanabi,2,5,25,25,25,2010,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Hanamikoji,158600,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,105059689,7.24893,7.48234,1.6841,251,29927,thing,Hanamikoji,2,2,15,15,15,2013,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Hand and Foot,7475,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697068,5.5411,5.8357,1.92,12878,404,thing,Hand and Foot,2,6,120,120,120,1982,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Happy City,319793,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82155871,6.02453,6.59054,1.2308,2748,3510,thing,Happy City,2,5,30,30,20,2021,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Harbour,155969,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83492792,6.18817,6.49412,2.0734,2050,10283,thing,Harbour,1,4,60,60,30,2015,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Harbour: High Tide Expansion,269281,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83492815,5.55906,7.24538,2,0,668,thing,Harbour: High Tide Expansion,1,4,60,60,30,2019,,,10+,,,,,,,expansion,,,,,
Harbour: Launch Promo Characters,161771,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83492820,5.54073,6.61453,2,0,528,thing,Harbour: Launch Promo Characters,2,4,60,60,60,2015,,,,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Hardback,223750,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696788,6.53645,7.17155,2.0794,1139,6527,thing,Hardback,1,5,90,90,45,2018,,,10+,Unplayable in another language,,,,,,standalone,,,,,
Hats,281658,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472655,5.92842,6.84856,2,3322,1862,thing,Hats,2,4,30,30,20,2019,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Hawaii,106217,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307281,6.59059,7.1079,2.9013,1038,4680,thing,Hawaii,2,5,60,60,60,2011,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Hearts,6887,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307032,6.16871,6.49599,1.7467,2131,2458,thing,Hearts,3,7,30,30,30,1850,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Heckin Hounds,340813,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92565548,5.5002,5.66104,1.3333,21862,100,thing,Heckin Hounds,2,7,90,90,30,2023,,,,,,,,,,standalone,,,,,
Herd,369336,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97334609,5.43785,3.28929,1,25855,8,thing,Herd,2,2,0,0,0,2022,,,,,,,,,,standalone,,,,,
Herooj,127304,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698304,5.49554,5.29762,1.5,22741,7,thing,Herooj,2,2,30,30,30,0,,,,No necessary in-game text,,,,,,standalone,,,,,
Herrlof,286081,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696934,5.70551,6.64933,1.3684,5600,957,thing,Herrlof,2,3,45,45,30,2020,,,10,No necessary in-game text,,,,,,standalone,,,,,
Hex,4112,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307894,5.80373,6.70491,3.1146,4311,668,thing,Hex,2,2,20,20,20,1942,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Hive,2655,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307127,7.17722,7.31995,2.3161,300,51407,thing,Hive,2,2,20,20,20,2001,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Hive: The Ladybug,70704,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333219,6.65835,7.61512,2.1839,0,8973,thing,Hive: The Ladybug,2,2,20,20,20,2010,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Hive: The Mosquito,30323,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333218,6.75344,7.56462,2.25,0,10455,thing,Hive: The Mosquito,2,2,20,20,20,2007,,,8+,No necessary in-game text,,,,,,expansion,,,,,
Hive: The Pillbug,139666,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333222,6.7285,7.7296,2.4268,0,11110,thing,Hive: The Pillbug,2,2,20,20,20,2013,,,10+,No necessary in-game text,,,,,,expansion,,,,,
Hoarders,281417,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696925,5.49776,5.53425,1.0714,22321,590,thing,Hoarders,3,6,15,15,10,2019,,,6+,,,,,,,standalone,,,,,
Hội Phố,288920,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86003028,5.48952,5.4228,1,23642,33,thing,Hội Phố,3,5,30,30,15,2019,,,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Hokito,114562,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99466194,5.58222,6.60335,1.8,9327,238,thing,Hokito,2,2,20,20,6,2020,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Hol's der Geier,175,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698234,6.02027,6.47066,1.1674,2775,4300,thing,What the Heck?,2,5,20,20,20,2018,,,6+,No necessary in-game text,,,,,,standalone,,AMIGO,German,2018,AMIGO German edition 2018
Homesteaders,26566,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696917,6.6163,7.19322,3.0391,992,4366,thing,Homesteaders,2,4,90,90,60,2009,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Homesteaders: New Beginnings,251595,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,90174968,5.61894,7.40506,2.5,0,804,thing,Homesteaders: New Beginnings,2,5,90,90,60,2019,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Homeworlds,334207,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87850167,5.66592,7.5908,3.3846,6354,430,thing,Homeworlds,2,2,60,60,30,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Hugo: Das Schlossgespenst,444,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81880498,5.84782,6.24721,1.1337,3920,2974,thing,Escape from the Hidden Castle,2,8,30,30,30,2013,,,5+,No necessary in-game text,,,,,,standalone,,AMIGO,German,2013,AMIGO German edition 2013
Hungarian Tarokk,101723,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77091073,5.52043,6.43527,3.1667,16890,42,thing,Hungarian Tarokk,4,4,30,30,30,1870,,,12+,,,,,,,standalone,,,,,
Hydroracers: The Schneider Trophy Epic,344425,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,91980655,5.46332,4.82804,1.3333,25389,7,thing,Hydroracers: The Schneider Trophy Epic,2,4,60,60,30,2022,,,,No necessary in-game text,,,,,,standalone,,,,,
Hypnosia,2136,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333212,4.70414,4.51311,1.1842,26276,9618,thing,Pachisi,2,6,30,30,30,400,,,5+,No necessary in-game text,,,,,,standalone,,,,,
I'm the Boss!: The Card Game,125605,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,87240388,5.52603,5.83665,1.75,15579,524,thing,I'm the Boss!: The Card Game,3,6,45,45,45,2012,,,,No necessary in-game text,,,,,,standalone,,,,,
Ice and the Sky,180938,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92331752,5.55139,6.08242,1.6667,11678,244,thing,Ice and the Sky,2,4,20,20,20,2015,,,,No necessary in-game text,,,,,,standalone,,,,,
Ice Cold Ice Hockey,154753,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307345,5.46022,4.82418,1.6667,25485,30,thing,Ice Cold Ice Hockey,2,2,60,60,60,2014,,,,,,,,,,standalone,,,,,
Icebreaker,356579,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93442797,5.48567,4.90858,1,24073,10,thing,Icebreaker,2,2,15,15,5,2021,,,,,,,,,,standalone,,,,,
Imhotep,191862,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86424491,6.92485,7.14393,2.0152,550,21823,thing,Imhotep,2,4,40,40,40,2016,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Impasse,6493,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97278518,5.48243,4.69169,1.6,24408,22,thing,Impasse,2,2,45,45,45,2003,,,6+,No necessary in-game text,,,,,,standalone,,,,,
In the Year of the Dragon,31594,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307267,7.02721,7.30064,3.0876,428,11034,thing,In the Year of the Dragon,2,5,100,100,75,2007,,,12+,No necessary in-game text,,,,,,standalone,,,,,
In the Year of the Dragon: 10th Anniversary,214000,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472586,6.50912,7.56238,2.9118,0,4617,thing,In the Year of the Dragon: 10th Anniversary,2,5,100,100,75,2017,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Incan Gold,15512,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307053,6.69809,6.83557,1.109,852,27618,thing,Incan Gold,3,8,30,30,30,2005,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Indian Chief,40446,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472272,5.53482,6.6746,1.8,13906,57,thing,Indian Chief,2,8,10,10,10,2004,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Innovation,63888,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307038,7.09371,7.29969,2.7633,373,23801,thing,Innovation,2,4,60,60,45,2010,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Isaac,88113,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308347,5.52452,6.072,2.3333,15921,66,thing,Isaac,2,2,15,15,15,2011,,,8+,No necessary in-game text,,,,,,standalone,,,,,
The Isle of Cats,281259,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472445,7.44828,7.7048,2.3585,138,37041,thing,The Isle of Cats,1,4,90,90,60,2019,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
It's a Wonderful World,271324,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96004606,7.41122,7.67579,2.3216,155,24699,thing,It's a Wonderful World,1,5,45,45,45,2019,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Iwari,270109,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,81880389,6.29155,7.1072,2.1549,1706,2407,thing,Iwari,2,5,45,45,45,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Jaipur,54043,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307011,7.37259,7.48708,1.4628,181,81054,thing,Jaipur,2,2,30,30,30,2009,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Jekyll vs. Hyde,297129,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81106133,6.62434,7.25789,1.8556,976,7160,thing,Jekyll vs. Hyde,2,2,30,30,30,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
The Jelly Monster Lab,142615,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308309,5.45331,4.43452,1,25631,14,thing,The Jelly Monster Lab,2,5,45,45,45,2013,,,,No necessary in-game text,,,,,,standalone,,,,,
Jump Drive,205597,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94361865,6.53899,7.00507,1.9912,1133,6707,thing,Jump Drive,2,4,30,30,10,2017,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Jump Gate,62809,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308316,5.54098,5.94353,2.1538,12898,240,thing,Jump Gate,2,6,45,45,45,2010,,,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Just Desserts,18946,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,78872197,5.5934,5.81254,1.3438,8708,2250,thing,Just Desserts,2,5,25,25,25,2015,,,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
